,Unnamed: 0,Connectivity_Index,ADOS_TOTAL_Corr,ADOS_COMM_Corr,ADOS_SOCIAL_Corr,ADOS_STEREO_Corr,Unnamed: 0.1,First_ROI_Index,First_ROI_Name,Second_ROI_Index,Second_ROI_Name,P_Values,ASD_Mean,TD_Mean,ASD_STD,TD_STD,Dominant_Group,First_ROI_Network,Second_ROI_Network,Networks
10,10,647,-0.21858472,-0.26917502,-0.1566812,-0.05483435,35,15,"Superior parietal lobule ([SPL], 15)",26,"Inferior parietal lobule ([IPL], 26)",0.0140204323689743,0.078369056356423,-0.037686612434454,0.2890006518644358,0.2530744984775604,ASD,SM,CC,SM-CC
11,11,83,-0.21165995,-0.14218509,-0.21673356,-0.10068758,16,2,Subthalamus/hypothalamus (2),34,"Supplementary motor area ([SMA], 34)",0.0064573183671933,-0.00731957574188,-0.1146739492176143,0.1827781397419855,0.2502297793367287,ASD,SC,CC,SC-CC
12,12,530,-0.19800349,-0.112815775,-0.21509947,-0.15229934,3,12,"Superior parietal lobule ([SPL], 12)",26,"Inferior parietal lobule ([IPL], 26)",0.0019524568773847,-0.0278756228582033,-0.1727058613470895,0.2677580621975853,0.262087960138046,ASD,SM,CC,SM-CC
13,13,23,-0.19628881,-0.2174556,-0.14962856,-0.0950284,87,1,Caudate (1),25,"Middle temporal gyrus ([MTG], 25)",0.0437074791059887,-0.0254860540004346,-0.1274137372246459,0.2876054601355389,0.2897812952323808,ASD,SC,VIS,SC-VIS
14,14,1157,-0.19328447,-0.13202673,-0.19691478,0.036818117,93,32,"Inferior parietal lobule ([IPL], 32)",43,Precuneus (43),0.0459588641254867,0.1148095238794448,0.0292992395452741,0.2548455085141314,0.2372544689390613,ASD,CC,DM,CC-DM
15,15,32,-0.16520606,-0.09710985,-0.17903385,-0.058247216,23,1,Caudate (1),34,"Supplementary motor area ([SMA], 34)",0.0091543919059436,-0.0104624481178023,-0.1227922019655761,0.228759212567242,0.2566333585051533,ASD,SC,CC,SC-CC
16,16,544,-0.16515937,-0.0012923293,-0.23557225,-0.19092532,63,12,"Superior parietal lobule ([SPL], 12)",40,"Inferior frontal gyrus ([IFG], 40)",0.0307393480342186,-0.0549463811778368,-0.1573015803621747,0.2843810545937428,0.2596331800690293,ASD,SM,CC,SM-CC
17,17,182,-0.1649817,-0.20995194,-0.11092854,0.053753834,31,4,Caudate (4),34,"Supplementary motor area ([SMA], 34)",0.0112600277256606,0.0253025958886021,-0.0773062287050824,0.2245476088197686,0.2346511311061882,ASD,SC,CC,SC-CC
18,18,503,-0.16120829,-0.019516611,-0.21889815,-0.22275417,57,11,"Right postcentral gyrus ([R PoCG], 11)",40,"Inferior frontal gyrus ([IFG], 40)",0.0283026377033732,-0.0492149972938302,-0.146341239911456,0.2724709638332264,0.2370213410213198,ASD,SM,CC,SM-CC
19,19,1280,-0.15945409,-0.010500504,-0.22184494,-0.06308584,25,39,"Middle cingulate cortex ([MCC], 39)",47,"Anterior cingulate cortex ([ACC], 47)",0.0093630736035936,-0.0241942235551786,0.1048851249264332,0.2921021919262395,0.2751299647447049,TD,CC,DM,CC-DM
20,20,489,-0.15779108,-0.11926468,-0.15351842,-0.18543255,90,11,"Right postcentral gyrus ([R PoCG], 11)",26,"Inferior parietal lobule ([IPL], 26)",0.0449821338648006,-0.0437547599644391,-0.1334971351299934,0.247225605155111,0.2621476419185219,ASD,SM,CC,SM-CC
21,21,800,-0.1459398,0.010177843,-0.21500872,-0.11938614,46,19,"Middle temporal gyrus ([MTG], 19)",37,"Hippocampus ([HiPP], 37)",0.0219641375844893,-0.0710991439623659,-0.1744339656580304,0.2494434094893822,0.2629125385294386,ASD,VIS,CC,VIS-CC
22,22,1350,-0.14085922,-0.09411094,-0.14498463,-0.24923818,85,46,"Posterior cingulate cortex ([PCC], 46)",47,"Anterior cingulate cortex ([ACC], 47)",0.0414857654233086,-0.1122325420593867,-0.0077519430132132,0.240863798867727,0.326363764790705,TD,DM,DM,DM-DM
23,23,404,-0.13729551,-0.09799039,-0.13710552,-0.095543206,70,9,"Left postcentral gyrus ([L PoCG], 9)",26,"Inferior parietal lobule ([IPL], 26)",0.0336688702528448,-0.052437352509369,-0.1490748634224632,0.2491274045115629,0.2675517942529657,ASD,SM,CC,SM-CC
24,24,981,-0.13180847,-0.29426792,-0.02520378,0.105652705,37,25,"Middle temporal gyrus ([MTG], 25)",35,"Superior frontal gyrus ([SFG], 35)",0.0160850429976238,-0.1180914888123944,0.0029418294658024,0.2760467002816436,0.2940461186045814,TD,VIS,CC,VIS-CC
25,25,1207,-0.11016449,-0.0809599,-0.1085827,-0.029988123,12,35,"Superior frontal gyrus ([SFG], 35)",36,"Middle frontal gyrus ([MiFG], 36)",0.0046864029352236,0.0537356326784194,-0.0794282284792059,0.2842364845915255,0.2537230570181487,ASD,CC,CC,CC-CC
26,26,1333,-0.10365736,-0.04943998,-0.1204456,-0.08299497,0,44,Precuneus (44),45,"Anterior cingulate cortex ([ACC], 45)",0.0016542835960779,0.0876393457995427,0.2271997170938158,0.2386664132899315,0.2595022839547038,TD,DM,DM,DM-DM
27,27,369,-0.09390693,0.011085652,-0.14104258,0.12956017,17,8,"Postcentral gyrus ([PoCG], 8)",35,"Superior frontal gyrus ([SFG], 35)",0.0069412647510262,-0.1761468524177173,-0.0563806121746956,0.2228763295731076,0.2718121271584067,TD,SM,CC,SM-CC
28,28,1204,-0.092474796,0.028730676,-0.14889939,-0.2859913,48,34,"Supplementary motor area ([SMA], 34)",51,"Cerebellum ([CB], 51)",0.0233108894672551,-0.0201655491287644,-0.1125729449711657,0.2338358492992304,0.2312921752721758,ASD,CC,CB,CC-CB
29,29,863,-0.07922298,-0.13263038,-0.03297704,0.045646865,29,21,"Right middle occipital gyrus ([R MOG], 21)",35,"Superior frontal gyrus ([SFG], 35)",0.0106596278602918,-0.2412173757291607,-0.1319348455885146,0.2346756431589645,0.2498650051173305,TD,VIS,CC,VIS-CC
30,30,1032,-0.071671605,-0.16839993,-0.0029071837,0.009918534,28,27,Insula (27),33,"Left inferior parietal lobue ([R IPL], 33)",0.0104508132625934,-0.0664799578628505,0.0316738950658695,0.2109074658197879,0.2233030355480645,TD,CC,CC,CC-CC
31,31,453,-0.06923806,0.020499816,-0.11141299,-0.052094605,75,10,"Paracentral lobule ([ParaCL], 10)",32,"Inferior parietal lobule ([IPL], 32)",0.037206706784167,0.033931081407914,-0.060415322041531,0.2465208140527086,0.2674181743432895,ASD,SM,CC,SM-CC
32,32,215,-0.055413425,-0.04509557,-0.052159127,-0.1382391,74,5,Thalamus (5),19,"Middle temporal gyrus ([MTG], 19)",0.0365084434693395,-0.0199742067438904,-0.1379454069876072,0.2781466844110212,0.3516021141556615,ASD,SC,VIS,SC-VIS
33,33,1189,-0.053545855,-0.08037276,-0.027937545,-0.15883875,79,34,"Supplementary motor area ([SMA], 34)",36,"Middle frontal gyrus ([MiFG], 36)",0.0382490875840914,0.0880619888240916,-0.0018067879982955,0.2699684156001333,0.2298158576722712,ASD,CC,CC,CC-CC
34,34,814,-0.052317336,0.027004583,-0.08863001,-0.14117901,39,19,"Middle temporal gyrus ([MTG], 19)",51,"Cerebellum ([CB], 51)",0.0164505953139501,-0.0737572225928105,-0.2025989144299778,0.2923956309425853,0.3158441967005447,ASD,VIS,CB,VIS-CB
35,35,895,-0.028421426,-0.05157629,-0.01012199,-0.0019716294,15,22,Fusiform gyrus (22),36,"Middle frontal gyrus ([MiFG], 36)",0.0058445013960952,-0.2263743882830875,-0.1163064186606741,0.2421485362358957,0.214524020793354,TD,VIS,CC,VIS-CC
36,36,1202,-0.027868519,0.06320845,-0.07523036,0.057539146,95,34,"Supplementary motor area ([SMA], 34)",49,"Posterior cingulate cortex ([PCC], 49)",0.0471923540026394,0.0325101221578396,0.1192807907952506,0.2286328288558546,0.2647754760564714,TD,CC,DM,CC-DM
37,37,447,-0.023210153,-0.028651863,-0.015998958,-0.05971185,36,10,"Paracentral lobule ([ParaCL], 10)",26,"Inferior parietal lobule ([IPL], 26)",0.0153844012913873,-0.0108493532447763,-0.125030955186273,0.2591538944092811,0.2751413182077459,ASD,SM,CC,SM-CC
38,38,550,-0.023132656,-0.05749612,0.0016877099,-0.18152885,52,12,"Superior parietal lobule ([SPL], 12)",46,"Posterior cingulate cortex ([PCC], 46)",0.0255263355301372,0.0539674073963949,-0.0441490585411977,0.230947649866487,0.2644505220251528,ASD,SM,DM,SM-DM
39,39,1178,-0.0102864625,0.11451079,-0.07872374,-0.3253168,58,33,"Left inferior parietal lobue ([R IPL], 33)",44,Precuneus (44),0.0287330832386463,-0.1112955257206647,-0.2075515556951764,0.2589667445206693,0.2452635763765601,ASD,CC,DM,CC-DM
40,40,181,-0.0067678927,-0.04996258,0.02039774,-0.029952152,78,4,Caudate (4),33,"Left inferior parietal lobue ([R IPL], 33)",0.0382433162216947,-0.1776529574012248,-0.0874422323789593,0.2052224974301966,0.2767744662268818,TD,SC,CC,SC-CC
41,41,230,-0.0057418193,0.11481484,-0.07613946,-0.13477266,51,5,Thalamus (5),34,"Supplementary motor area ([SMA], 34)",0.025020094111137,0.0155629895786195,-0.0786468680504978,0.2390250536066498,0.2404586242311845,ASD,SC,CC,SC-CC
42,42,673,0.02788684,0.018521395,0.029374879,-0.12732303,54,15,"Superior parietal lobule ([SPL], 15)",52,"Cerebellum ([CB], 52)",0.0274713235190494,-0.3188155585781708,-0.2276446389301044,0.1979995129914064,0.2608028261301291,TD,SM,CB,SM-CB
43,43,729,0.028789287,-0.1377605,0.12375238,0.11401936,7,17,"Calcarine gyrus ([CalcarineG], 17)",35,"Superior frontal gyrus ([SFG], 35)",0.0034729235588431,-0.1550494097497076,-0.0237922295147668,0.2417374441998868,0.2637722366078945,TD,VIS,CC,VIS-CC
44,44,571,0.04703142,-0.014724063,0.07603062,-0.11815713,43,13,"Paracentral lobule ([ParaCL], 13)",27,Insula (27),0.0204981169841536,0.098718881569756,-0.0030108727539464,0.2494452032246642,0.2509965979656342,ASD,SM,CC,SM-CC
45,45,955,0.050826527,0.15076289,-0.01863533,-0.12899187,26,24,"Lingual gyrus ([LingualG], 24)",37,"Hippocampus ([HiPP], 37)",0.0098212133693857,-0.1608444683050683,-0.0690398639422299,0.2002564257332324,0.2037102348531698,TD,VIS,CC,VIS-CC
46,46,1355,0.053252667,0.056671415,0.04186324,0.074997164,69,46,"Posterior cingulate cortex ([PCC], 46)",52,"Cerebellum ([CB], 52)",0.0334619683090207,-0.0946635950818037,0.011686061307543,0.2876034881547402,0.2841103362512148,TD,DM,CB,DM-CB
47,47,1182,0.055853024,0.15929107,-0.01261191,-0.06570665,41,33,"Left inferior parietal lobue ([R IPL], 33)",48,Precuneus (48),0.0171456683607527,0.1443229631869351,0.0382862484942087,0.2277433977191126,0.2711606065773416,ASD,CC,DM,CC-DM
48,48,1038,0.0559894,0.10579704,0.016019475,-0.06444432,8,27,Insula (27),39,"Middle cingulate cortex ([MCC], 39)",0.0039901676528716,0.240586460807486,0.0994654459671633,0.2735979597933483,0.2812153918934006,ASD,CC,CC,CC-CC
49,49,1020,0.07236318,0.08890044,0.049675167,0.021490104,42,26,"Inferior parietal lobule ([IPL], 26)",47,"Anterior cingulate cortex ([ACC], 47)",0.0180493179440736,-0.0554000850929503,0.0429242893246233,0.2057864053122596,0.2578523595189876,TD,CC,DM,CC-DM
50,50,1184,0.077761695,0.05451823,0.07823664,-0.020326588,49,33,"Left inferior parietal lobue ([R IPL], 33)",50,"Cerebellum ([CB], 50)",0.0235157410410549,-0.1080192174089925,-0.0031667771103481,0.2242257014374312,0.2902924241828453,TD,CC,CB,CC-CB
51,51,1337,0.08021607,-0.01692934,0.12390507,-0.051898606,1,44,Precuneus (44),49,"Posterior cingulate cortex ([PCC], 49)",0.0017392855074273,0.2839711956195068,0.4397571613230459,0.3125593423190071,0.2555225338482871,TD,DM,DM,DM-DM
52,52,190,0.08230818,-0.0032567342,0.119750485,0.16347459,91,4,Caudate (4),42,"Hippocampus ([HiPP], 42)",0.0450080809425751,0.1181683766565595,0.2141403708040093,0.2824333674737072,0.2669376235270256,TD,SC,CC,SC-CC
53,53,269,0.085044704,0.0649177,0.082401216,-0.08869114,18,6,"Superior temporal gyrus ([STG], 6)",26,"Inferior parietal lobule ([IPL], 26)",0.0074286650889846,-0.044336061688182,-0.1502018207996566,0.252568899679841,0.2014602567812101,ASD,AUD,CC,AUD-CC
54,54,1088,0.08555367,-0.05449251,0.15485537,0.17298691,65,29,"Inferior frontal gyrus ([IFG], 29)",40,"Inferior frontal gyrus ([IFG], 40)",0.0317233022638098,0.2397506685238357,0.1330552033637597,0.2776092354404753,0.2880563866955569,ASD,CC,CC,CC-CC
55,55,1299,0.08602782,-0.02291617,0.13657033,0.054307953,82,40,"Inferior frontal gyrus ([IFG], 40)",53,"Cerebellum ([CB], 53)",0.0394267175585676,-0.1178112279268965,-0.0234372065223775,0.2912847932418094,0.237406703103479,TD,CC,CB,CC-CB
56,56,1065,0.08634607,0.14613831,0.035765704,-0.028499234,34,28,"Superior medial frontal gyrus ([SMFG], 28)",41,"Middle frontal gyrus ([MiFG], 41)",0.0129851491140455,0.2129608874917793,0.1086167648881637,0.2283971426786674,0.246862573294405,ASD,CC,CC,CC-CC
57,57,1194,0.092234075,0.08370435,0.08323522,-0.11243719,14,34,"Supplementary motor area ([SMA], 34)",41,"Middle frontal gyrus ([MiFG], 41)",0.0055360667308242,0.054145066203893,-0.0611411609776118,0.2488410795169203,0.2258241826540876,ASD,CC,CC,CC-CC
58,58,328,0.09437735,-0.05918787,0.16910695,-0.048046518,19,7,"Middle temporal gyrus ([MTG], 7)",39,"Middle cingulate cortex ([MCC], 39)",0.0079812552979322,-0.0148280410592493,-0.142501533100699,0.2647416283740631,0.2799702809687905,ASD,AUD,CC,AUD-CC
59,59,238,0.11813662,0.06261244,0.13126339,-0.0611328,76,5,Thalamus (5),42,"Hippocampus ([HiPP], 42)",0.0378366951525657,0.107416049863049,0.2275736783910641,0.3289451016980832,0.3317786001333852,TD,SC,CC,SC-CC
60,60,1026,0.12234259,0.1268357,0.10214134,0.1142335,59,26,"Inferior parietal lobule ([IPL], 26)",53,"Cerebellum ([CB], 53)",0.0288681062580196,-0.1445055150008423,-0.0424510353758343,0.2899547075353622,0.24768023997636,TD,CC,CB,CC-CB
61,61,956,0.12887901,0.17061594,0.0814867,0.18133722,92,24,"Lingual gyrus ([LingualG], 24)",38,"Left inferior parietal lobule ([L IPL], 38)",0.0456744826497142,0.0744642198509131,0.0004148555196776,0.2266998633469137,0.199986388377656,ASD,VIS,CC,VIS-CC
62,62,951,0.12930046,0.14242771,0.09887649,-0.020230297,4,24,"Lingual gyrus ([LingualG], 24)",33,"Left inferior parietal lobue ([R IPL], 33)",0.002260596097157,0.1641378418392864,0.0454732136981732,0.2199939321653195,0.2199142645350351,ASD,VIS,CC,VIS-CC
63,63,1227,0.13113245,0.07140395,0.14534473,-0.065451935,5,36,"Middle frontal gyrus ([MiFG], 36)",39,"Middle cingulate cortex ([MCC], 39)",0.0032428565390496,0.1979286135384795,0.0578871259940367,0.2929525439361298,0.2507387155044833,ASD,CC,CC,CC-CC
64,64,829,0.1371691,0.15562579,0.10242907,-0.050393768,2,20,Cuneus (20),33,"Left inferior parietal lobue ([R IPL], 33)",0.0018488019285916,0.2070957428257309,0.0776635164212731,0.2257428083983296,0.2419102967921683,ASD,VIS,CC,VIS-CC
65,65,1186,0.14464599,0.15208627,0.116627485,-0.1117572,22,33,"Left inferior parietal lobue ([R IPL], 33)",52,"Cerebellum ([CB], 52)",0.0087788449182053,-0.2090774460674013,-0.0939928668804588,0.2234542277737467,0.2676422197546217,TD,CC,CB,CC-CB
66,66,1353,0.15700187,0.18042555,0.11569507,-0.24562298,45,46,"Posterior cingulate cortex ([PCC], 46)",50,"Cerebellum ([CB], 50)",0.02087417923429,-0.0529982559027554,0.0567749812106966,0.2144437094715242,0.3064195209289329,TD,DM,CB,DM-CB
67,67,229,0.15837118,-0.008097852,0.231469,0.07199392,61,5,Thalamus (5),33,"Left inferior parietal lobue ([R IPL], 33)",0.030356142714157,-0.139978906274024,-0.0342690588254818,0.2154204713409911,0.3178489025222999,TD,SC,CC,SC-CC
68,68,174,0.16014643,0.28210893,0.058675997,0.13358434,77,4,Caudate (4),26,"Inferior parietal lobule ([IPL], 26)",0.0379334117191752,-0.0360520041864514,0.0506867119754273,0.2517939772589245,0.2285273466846772,TD,SC,CC,SC-CC
69,69,1291,0.1679339,0.089517824,0.18730137,0.12044822,53,40,"Inferior frontal gyrus ([IFG], 40)",45,"Anterior cingulate cortex ([ACC], 45)",0.0258871515678157,0.0323812805770275,-0.0783890603525942,0.2620994728871643,0.2988294813210186,ASD,CC,DM,CC-DM
70,70,903,0.17335461,0.19246112,0.13308683,0.23279512,21,22,Fusiform gyrus (22),44,Precuneus (44),0.0085090537419171,0.1026564556167127,-0.001014308893929,0.2040502008147781,0.2378295078757018,ASD,VIS,DM,VIS-DM
71,71,1012,0.17461845,0.1569114,0.15611497,0.15270138,64,26,"Inferior parietal lobule ([IPL], 26)",39,"Middle cingulate cortex ([MCC], 39)",0.0313975037747869,-0.0202423240769091,0.0824302242344531,0.2812833957111261,0.2655919350907162,TD,CC,CC,CC-CC
72,72,1218,0.17656851,0.25535172,0.09793776,0.17629299,11,35,"Superior frontal gyrus ([SFG], 35)",47,"Anterior cingulate cortex ([ACC], 47)",0.0046734166552612,0.0579513479703673,0.1847868535007077,0.2465277673786443,0.2601498323518582,TD,CC,DM,CC-DM
73,73,784,0.17880641,0.20390886,0.13523935,0.091137014,94,19,"Middle temporal gyrus ([MTG], 19)",21,"Right middle occipital gyrus ([R MOG], 21)",0.0469572837068339,0.1244861738626541,0.2223063478570261,0.2642952338411825,0.2936753637713497,TD,VIS,VIS,VIS-VIS
74,74,727,0.19188747,0.35329166,0.06216274,-0.07718905,9,17,"Calcarine gyrus ([CalcarineG], 17)",33,"Left inferior parietal lobue ([R IPL], 33)",0.0043272413169298,0.160643959155042,0.0304928721229722,0.2420477216163148,0.2705570684667707,ASD,VIS,CC,VIS-CC
75,75,953,0.1937101,0.0928829,0.22100574,0.123064,86,24,"Lingual gyrus ([LingualG], 24)",35,"Superior frontal gyrus ([SFG], 35)",0.0426649631393551,-0.2019160434124998,-0.1246315544765056,0.2333794312891653,0.2055990047588255,TD,VIS,CC,VIS-CC
76,76,1264,0.20069423,0.072830096,0.24522386,0.037374288,67,38,"Left inferior parietal lobule ([L IPL], 38)",45,"Anterior cingulate cortex ([ACC], 45)",0.0330273223744388,-0.1060175349261862,-0.2024563892861804,0.2483033735846563,0.2655948006252458,ASD,CC,DM,CC-DM
77,77,1247,0.205182,0.27114674,0.13120422,0.19724548,81,37,"Hippocampus ([HiPP], 37)",43,Precuneus (43),0.0392790753337206,-0.1046892281326365,-0.0316263557668886,0.1946239760050428,0.2082362925551671,TD,CC,DM,CC-DM
78,78,598,0.20933868,0.18237399,0.18934749,0.36734593,62,14,"Precentral gyrus ([PreCG], 14)",15,"Superior parietal lobule ([SPL], 15)",0.030714777241594,0.2553522347556602,0.1550954523808984,0.2607131493194954,0.2679945053367289,ASD,SM,SM,SM-SM
79,79,718,0.21296208,0.29625404,0.12924264,-0.1151127,56,17,"Calcarine gyrus ([CalcarineG], 17)",24,"Lingual gyrus ([LingualG], 24)",0.0281597511127027,0.5925135845877546,0.4868113960557573,0.2219818510382966,0.3084839093456497,ASD,VIS,VIS,VIS-VIS
80,80,75,0.21902071,0.21553035,0.18397763,-0.024712993,71,2,Subthalamus/hypothalamus (2),26,"Inferior parietal lobule ([IPL], 26)",0.0348053088133121,-0.0928880996423987,-0.0056188474994336,0.2316337477576039,0.2394847889670109,TD,SC,CC,SC-CC
81,81,275,0.23155935,0.21784005,0.1996697,0.06017785,47,6,"Superior temporal gyrus ([STG], 6)",32,"Inferior parietal lobule ([IPL], 32)",0.0228556674776344,0.1200200514037814,0.0260484673340426,0.2259629568613917,0.2424101325316999,ASD,AUD,CC,AUD-CC
82,82,380,0.23670213,0.32794556,0.14023544,-0.10759121,88,8,"Postcentral gyrus ([PoCG], 8)",46,"Posterior cingulate cortex ([PCC], 46)",0.0441225325757269,-0.0179726162189102,-0.1010298170375311,0.213817733730194,0.251039849959231,ASD,SM,DM,SM-DM
83,83,626,0.23860528,0.14187837,0.25549728,0.049392346,66,14,"Precentral gyrus ([PreCG], 14)",43,Precuneus (43),0.0329995989633321,0.0941430931349398,0.0025332866773848,0.2571812971070254,0.2361603937256139,ASD,SM,DM,SM-DM
84,84,1298,0.23931733,0.19262959,0.225751,-0.01909235,44,40,"Inferior frontal gyrus ([IFG], 40)",52,"Cerebellum ([CB], 52)",0.0205849057369513,-0.0767619618739088,0.0254553635886256,0.2635348705873261,0.2425039192822689,TD,CC,CB,CC-CB
85,85,692,0.24867164,0.1423552,0.27092868,-0.024579292,27,16,"Postcentral gyrus ([PoCG], 16)",34,"Supplementary motor area ([SMA], 34)",0.0103499956508103,-0.000451340761324,0.0993095571171211,0.2327252972784576,0.2124799872609946,TD,SM,CC,SM-CC
86,86,1129,0.27476656,0.2657739,0.23566301,0.15388052,32,31,"Middle frontal gyrus ([MiFG], 31)",36,"Middle frontal gyrus ([MiFG], 36)",0.0118431436671142,0.0679992719236676,-0.0421088700033159,0.2858913455691603,0.2174181384487191,ASD,CC,CC,CC-CC
87,87,978,0.28477815,0.23522608,0.27211592,-0.09094848,6,25,"Middle temporal gyrus ([MTG], 25)",32,"Inferior parietal lobule ([IPL], 32)",0.0033272010484195,-0.0905055421549925,0.0401110349611273,0.2243117759434294,0.2710921178846233,TD,VIS,CC,VIS-CC
88,88,1025,0.30320317,0.26840994,0.27138007,0.25262314,50,26,"Inferior parietal lobule ([IPL], 26)",52,"Cerebellum ([CB], 52)",0.0240991487992112,-0.098919908964483,0.00857271095362,0.2757387399380493,0.2689563301361127,TD,CC,CB,CC-CB
89,89,312,0.30544302,0.32765555,0.24023396,0.36906973,83,7,"Middle temporal gyrus ([MTG], 7)",23,"Inferior occipital gyrus ([IOG], 23)",0.0395894778203108,-0.0316593697782963,0.0577890477097964,0.2029353224379458,0.2774536809168499,TD,AUD,VIS,AUD-VIS
90,90,1121,0.33730304,0.36221048,0.2648428,-0.20117418,73,30,"Right inferior frontal gyrus ([R IFG], 30)",50,"Cerebellum ([CB], 50)",0.0362661848371174,-0.0543243636415962,0.0329907774644522,0.1890207491542137,0.2691264044074898,TD,CC,CB,CC-CB
91,91,358,0.34091213,0.24680564,0.33826798,-0.12194373,24,8,"Postcentral gyrus ([PoCG], 8)",24,"Lingual gyrus ([LingualG], 24)",0.009289993271835,0.1725973328892444,0.0599574337054954,0.2103837289870778,0.2699762950126932,ASD,SM,VIS,SM-VIS
92,92,354,0.34202504,0.36554626,0.2678741,-0.18335691,68,8,"Postcentral gyrus ([PoCG], 8)",20,Cuneus (20),0.0333331162349529,0.1637621444369229,0.0672576392990967,0.2241641286735614,0.2821888840342599,ASD,SM,VIS,SM-VIS
93,93,603,0.35676494,0.3156418,0.32108143,0.06325908,13,14,"Precentral gyrus ([PreCG], 14)",20,Cuneus (20),0.0052945301267254,0.2222050832250221,0.0929537349614201,0.2671232582418073,0.2600670220416838,ASD,SM,VIS,SM-VIS
94,94,600,0.39873752,0.3615311,0.35304865,0.11523232,60,14,"Precentral gyrus ([PreCG], 14)",17,"Calcarine gyrus ([CalcarineG], 17)",0.0294767554389287,0.1614293733787016,0.0551831226964903,0.2863140285663532,0.272684094916668,ASD,SM,VIS,SM-VIS
95,95,607,0.4031445,0.34374672,0.37224993,0.11840477,40,14,"Precentral gyrus ([PreCG], 14)",24,"Lingual gyrus ([LingualG], 24)",0.0167132544261423,0.1906443476618552,0.0912117069114794,0.2518519123486108,0.2248450029596234,ASD,SM,VIS,SM-VIS
