,Connectivity_Index,First_ROI_Index,First_ROI_Name,Second_ROI_Index,Second_ROI_Name,P_Values,ASD_Mean,TD_Mean,ASD_STD,TD_STD,Dominant_Group
73,1216,35,"Superior frontal gyrus ([SFG], 35)",45,"Anterior cingulate cortex ([ACC], 45)",0.006366280139972463,0.1875787,0.25566503,0.25531203,0.22878198,TD
74,266,6,"Superior temporal gyrus ([STG], 6)",23,"Inferior occipital gyrus ([IOG], 23)",0.006540758338932451,-0.09835521,-0.03536912,0.22490774,0.22463803,TD
75,980,25,"Middle temporal gyrus ([MTG], 25)",34,"Supplementary motor area ([SMA], 34)",0.006596478758886718,-0.07232335,-0.14031702,0.2575243,0.22790036,ASD
76,1290,40,"Inferior frontal gyrus ([IFG], 40)",44,Precuneus (44),0.0067315232165519575,-0.16819623,-0.23861206,0.27510765,0.22789223,ASD
77,590,13,"Paracentral lobule ([ParaCL], 13)",46,"Posterior cingulate cortex ([PCC], 46)",0.006748230507400561,-0.08112492,-0.1606564,0.30799997,0.26071593,ASD
78,1140,31,"Middle frontal gyrus ([MiFG], 31)",47,"Anterior cingulate cortex ([ACC], 47)",0.007188355451977418,-0.109690115,-0.16956982,0.20591007,0.22568312,ASD
79,1309,41,"Middle frontal gyrus ([MiFG], 41)",51,"Cerebellum ([CB], 51)",0.0073160464668766715,0.039239783,0.11140377,0.26404107,0.25830126,TD
80,1170,33,"Left inferior parietal lobue ([R IPL], 33)",36,"Middle frontal gyrus ([MiFG], 36)",0.007316583344054095,0.07550878,0.13985986,0.23699534,0.2288116,TD
81,261,6,"Superior temporal gyrus ([STG], 6)",18,"Middle occipital gyrus ([MOG], 18)",0.007366052366876421,-0.11524325,-0.056516524,0.20354767,0.22115138,TD
82,1328,43,Precuneus (43),49,"Posterior cingulate cortex ([PCC], 49)",0.007464401793770101,0.34427968,0.41682506,0.27720353,0.24891397,TD
83,1073,28,"Superior medial frontal gyrus ([SMFG], 28)",49,"Posterior cingulate cortex ([PCC], 49)",0.007576269937356717,0.5055394,0.57328004,0.25143525,0.24107182,TD
84,1275,39,"Middle cingulate cortex ([MCC], 39)",42,"Hippocampus ([HiPP], 42)",0.007888531674853145,0.029319022,0.111158475,0.25464082,0.33625963,TD
85,971,24,"Lingual gyrus ([LingualG], 24)",53,"Cerebellum ([CB], 53)",0.008048098662071013,-0.04425359,-0.10218899,0.21268448,0.2117451,ASD
86,1247,37,"Hippocampus ([HiPP], 37)",43,Precuneus (43),0.00817921326658804,-0.11394708,-0.06736728,0.16723445,0.1744939,TD
87,754,18,"Middle occipital gyrus ([MOG], 18)",25,"Middle temporal gyrus ([MTG], 25)",0.008274737806165151,0.124856785,0.19041824,0.2358678,0.24585034,TD
88,467,10,"Paracentral lobule ([ParaCL], 10)",46,"Posterior cingulate cortex ([PCC], 46)",0.008325769857866054,0.040579576,-0.031791937,0.2658282,0.26665124,ASD
89,712,17,"Calcarine gyrus ([CalcarineG], 17)",18,"Middle occipital gyrus ([MOG], 18)",0.008427164499584205,0.22917256,0.14518733,0.32373595,0.2950418,ASD
90,828,20,Cuneus (20),32,"Inferior parietal lobule ([IPL], 32)",0.00855732041565414,-0.054357253,-0.110244334,0.21221448,0.2005095,ASD
91,1162,32,"Inferior parietal lobule ([IPL], 32)",48,Precuneus (48),0.008688684615371454,0.12407724,0.06215318,0.23077765,0.22743657,ASD
92,377,8,"Postcentral gyrus ([PoCG], 8)",43,Precuneus (43),0.009450307282188784,-0.15304863,-0.20272827,0.19080925,0.18091908,ASD
93,250,6,"Superior temporal gyrus ([STG], 6)",7,"Middle temporal gyrus ([MTG], 7)",0.009621449755853812,0.5916826,0.6422232,0.18909666,0.18991731,TD
94,1303,41,"Middle frontal gyrus ([MiFG], 41)",45,"Anterior cingulate cortex ([ACC], 45)",0.009823570399792874,0.26786432,0.19701047,0.28642648,0.24561214,ASD
95,1147,32,"Inferior parietal lobule ([IPL], 32)",33,"Left inferior parietal lobue ([R IPL], 33)",0.010150165702901424,0.2693967,0.33174834,0.2306672,0.24006459,TD
96,3,1,Caudate (1),5,Thalamus (5),0.010688940901332393,0.27387258,0.3616898,0.31925523,0.34769005,TD
97,619,14,"Precentral gyrus ([PreCG], 14)",36,"Middle frontal gyrus ([MiFG], 36)",0.010821481548156249,0.2128283,0.27850133,0.25564715,0.24489138,TD
98,202,5,Thalamus (5),6,"Superior temporal gyrus ([STG], 6)",0.010840543955510245,0.05339105,-0.028610587,0.3136919,0.3113865,ASD
99,516,11,"Right postcentral gyrus ([R PoCG], 11)",53,"Cerebellum ([CB], 53)",0.01099365962346591,-0.09031326,-0.1483024,0.21150419,0.23060355,ASD
100,135,3,Putamen (3),36,"Middle frontal gyrus ([MiFG], 36)",0.010996470686303201,-0.013540749,0.04044909,0.21269579,0.19967689,TD
101,158,4,Caudate (4),10,"Paracentral lobule ([ParaCL], 10)",0.011081796010933271,-0.104794174,-0.17241214,0.26526344,0.25178453,ASD
102,312,7,"Middle temporal gyrus ([MTG], 7)",23,"Inferior occipital gyrus ([IOG], 23)",0.01235777930814886,-0.054111786,0.0029397225,0.2227996,0.22017415,TD
103,1095,29,"Inferior frontal gyrus ([IFG], 29)",47,"Anterior cingulate cortex ([ACC], 47)",0.012469919069690978,0.09998419,0.04197107,0.21561089,0.23462178,ASD
104,1017,26,"Inferior parietal lobule ([IPL], 26)",44,Precuneus (44),0.013085769766287832,0.097161,0.15958458,0.26526314,0.22227322,TD
105,714,17,"Calcarine gyrus ([CalcarineG], 17)",20,Cuneus (20),0.01310919387995758,0.68854207,0.6328568,0.20354474,0.23109202,ASD
106,1223,35,"Superior frontal gyrus ([SFG], 35)",52,"Cerebellum ([CB], 52)",0.013477657182219487,-0.02173749,0.057984248,0.31821978,0.30861712,TD
107,447,10,"Paracentral lobule ([ParaCL], 10)",26,"Inferior parietal lobule ([IPL], 26)",0.01402779603163779,0.00031785635,-0.056418136,0.20823371,0.23882036,ASD
108,174,4,Caudate (4),26,"Inferior parietal lobule ([IPL], 26)",0.014049086222654841,-0.11725296,-0.06561981,0.20250526,0.20581646,TD
109,24,1,Caudate (1),26,"Inferior parietal lobule ([IPL], 26)",0.014443223176958024,-0.053280257,-0.006103614,0.16571242,0.20605119,TD
110,1015,26,"Inferior parietal lobule ([IPL], 26)",42,"Hippocampus ([HiPP], 42)",0.014525947031282484,-0.19415806,-0.13158228,0.24130741,0.25562528,TD
111,333,7,"Middle temporal gyrus ([MTG], 7)",44,Precuneus (44),0.014568872730525132,-0.22888751,-0.28548554,0.21857074,0.23110773,ASD
112,931,23,"Inferior occipital gyrus ([IOG], 23)",42,"Hippocampus ([HiPP], 42)",0.014827712799954948,0.044731505,-0.019544948,0.24370632,0.26777664,ASD
113,801,19,"Middle temporal gyrus ([MTG], 19)",38,"Left inferior parietal lobule ([L IPL], 38)",0.014841145705588992,0.0038189355,0.07153011,0.25891933,0.28021836,TD
114,814,19,"Middle temporal gyrus ([MTG], 19)",51,"Cerebellum ([CB], 51)",0.014851977549905603,-0.06143022,-0.142116,0.30764925,0.33476412,ASD
115,1159,32,"Inferior parietal lobule ([IPL], 32)",45,"Anterior cingulate cortex ([ACC], 45)",0.014899893054922933,-0.1207474,-0.17867546,0.24320634,0.21880233,ASD
116,23,1,Caudate (1),25,"Middle temporal gyrus ([MTG], 25)",0.015333755388927523,-0.037424687,-0.0998356,0.24858466,0.25148344,ASD
117,989,25,"Middle temporal gyrus ([MTG], 25)",43,Precuneus (43),0.015571586456632954,-0.05846676,-0.004686669,0.18206955,0.24426512,TD
118,184,4,Caudate (4),36,"Middle frontal gyrus ([MiFG], 36)",0.015824588478975252,0.04982073,0.099834576,0.22461066,0.17604284,TD
119,810,19,"Middle temporal gyrus ([MTG], 19)",47,"Anterior cingulate cortex ([ACC], 47)",0.016571184680769253,0.022904506,-0.040134735,0.24056093,0.26928625,ASD
120,1325,43,Precuneus (43),46,"Posterior cingulate cortex ([PCC], 46)",0.016703442126970267,0.423313,0.48784775,0.24122517,0.28052953,TD
121,1350,46,"Posterior cingulate cortex ([PCC], 46)",47,"Anterior cingulate cortex ([ACC], 47)",0.016904691824072213,-0.1138134,-0.05041454,0.25040415,0.2648126,TD
122,215,5,Thalamus (5),19,"Middle temporal gyrus ([MTG], 19)",0.016928307310090762,0.06886214,-0.016221983,0.32836396,0.36239466,ASD
123,743,17,"Calcarine gyrus ([CalcarineG], 17)",49,"Posterior cingulate cortex ([PCC], 49)",0.016996820603082975,0.19076526,0.24829352,0.23808594,0.23031653,TD
124,1225,36,"Middle frontal gyrus ([MiFG], 36)",37,"Hippocampus ([HiPP], 37)",0.0189474160480162,-0.14268859,-0.09914163,0.1838072,0.17687944,TD
125,388,9,"Left postcentral gyrus ([L PoCG], 9)",10,"Paracentral lobule ([ParaCL], 10)",0.01898074520729931,0.27676493,0.34503487,0.26531225,0.29862198,TD
126,617,14,"Precentral gyrus ([PreCG], 14)",34,"Supplementary motor area ([SMA], 34)",0.019150878829503927,0.24418741,0.18629493,0.24893993,0.23130617,ASD
127,1107,30,"Right inferior frontal gyrus ([R IFG], 30)",36,"Middle frontal gyrus ([MiFG], 36)",0.01925853739316738,0.14043428,0.19344103,0.21611144,0.22379497,TD
128,970,24,"Lingual gyrus ([LingualG], 24)",52,"Cerebellum ([CB], 52)",0.019356534973132635,-0.08629841,-0.14156239,0.23540024,0.22389616,ASD
129,432,10,"Paracentral lobule ([ParaCL], 10)",11,"Right postcentral gyrus ([R PoCG], 11)",0.01943785779799332,0.2711595,0.34006208,0.2932316,0.2798069,TD
130,1152,32,"Inferior parietal lobule ([IPL], 32)",38,"Left inferior parietal lobule ([L IPL], 38)",0.01945693988055624,0.2772203,0.3323562,0.2168536,0.24064225,TD
131,658,15,"Superior parietal lobule ([SPL], 15)",37,"Hippocampus ([HiPP], 37)",0.019459821412694613,-0.11732337,-0.066391,0.18482837,0.2348879,TD
132,1077,28,"Superior medial frontal gyrus ([SMFG], 28)",53,"Cerebellum ([CB], 53)",0.020481783328929606,-0.072403185,-0.01596783,0.2251645,0.24720238,TD
133,1089,29,"Inferior frontal gyrus ([IFG], 29)",41,"Middle frontal gyrus ([MiFG], 41)",0.020562366881369788,0.20641737,0.14635324,0.2677601,0.23585089,ASD
134,753,18,"Middle occipital gyrus ([MOG], 18)",24,"Lingual gyrus ([LingualG], 24)",0.020882029170678485,0.54256254,0.4796842,0.26265997,0.26625407,ASD
135,722,17,"Calcarine gyrus ([CalcarineG], 17)",28,"Superior medial frontal gyrus ([SMFG], 28)",0.02094051407864905,-0.08822474,-0.035387684,0.2077937,0.23555186,TD
136,280,6,"Superior temporal gyrus ([STG], 6)",37,"Hippocampus ([HiPP], 37)",0.021108662878718435,-0.00043635292,-0.069084,0.27809447,0.2996658,ASD
137,1069,28,"Superior medial frontal gyrus ([SMFG], 28)",45,"Anterior cingulate cortex ([ACC], 45)",0.021274824323951502,0.41219833,0.46903333,0.24726196,0.23240075,TD
138,474,10,"Paracentral lobule ([ParaCL], 10)",53,"Cerebellum ([CB], 53)",0.021568468860195585,-0.03290277,-0.09317893,0.26414505,0.2456753,ASD
139,718,17,"Calcarine gyrus ([CalcarineG], 17)",24,"Lingual gyrus ([LingualG], 24)",0.021706269431160146,0.63756377,0.57717174,0.25111455,0.2599846,ASD
140,632,14,"Precentral gyrus ([PreCG], 14)",49,"Posterior cingulate cortex ([PCC], 49)",0.02176255094019999,-0.10886235,-0.17193016,0.2886841,0.24451917,ASD
141,75,2,Subthalamus/hypothalamus (2),26,"Inferior parietal lobule ([IPL], 26)",0.021938178179792805,-0.116974585,-0.06499568,0.21910562,0.2217231,TD
142,465,10,"Paracentral lobule ([ParaCL], 10)",44,Precuneus (44),0.022047258894204322,-0.042202767,0.010316037,0.23393972,0.2117461,TD
143,772,18,"Middle occipital gyrus ([MOG], 18)",43,Precuneus (43),0.02229227569794595,-0.029994152,-0.085319996,0.23924063,0.23136866,ASD
144,1016,26,"Inferior parietal lobule ([IPL], 26)",43,Precuneus (43),0.022436340443928934,0.26795155,0.3187317,0.2259546,0.20629609,TD
145,1202,34,"Supplementary motor area ([SMA], 34)",49,"Posterior cingulate cortex ([PCC], 49)",0.022543541420973354,0.10230208,0.15812062,0.24085747,0.23483026,TD
146,1078,29,"Inferior frontal gyrus ([IFG], 29)",30,"Right inferior frontal gyrus ([R IFG], 30)",0.022588334270984434,0.26157057,0.30877626,0.20072237,0.20162235,TD
147,1036,27,Insula (27),37,"Hippocampus ([HiPP], 37)",0.022784257289464052,0.021387774,-0.04823735,0.28701243,0.3066261,ASD
148,199,4,Caudate (4),51,"Cerebellum ([CB], 51)",0.02333766602317796,-0.12742703,-0.06261257,0.27343115,0.28186032,TD
149,1076,28,"Superior medial frontal gyrus ([SMFG], 28)",52,"Cerebellum ([CB], 52)",0.023637216128669324,-0.0811692,-0.03581799,0.1763289,0.21102837,TD
150,1128,31,"Middle frontal gyrus ([MiFG], 31)",35,"Superior frontal gyrus ([SFG], 35)",0.02449958555525382,0.23735529,0.18223846,0.23963001,0.23675248,ASD
151,366,8,"Postcentral gyrus ([PoCG], 8)",32,"Inferior parietal lobule ([IPL], 32)",0.024810208962038564,-0.0362477,0.0092858905,0.19076827,0.20318376,TD
152,986,25,"Middle temporal gyrus ([MTG], 25)",40,"Inferior frontal gyrus ([IFG], 40)",0.024892390001812915,-0.06314812,-0.003169116,0.25852844,0.26120198,TD
153,1111,30,"Right inferior frontal gyrus ([R IFG], 30)",40,"Inferior frontal gyrus ([IFG], 40)",0.025187016705888444,0.1995949,0.255246,0.24126619,0.24198617,TD
154,269,6,"Superior temporal gyrus ([STG], 6)",26,"Inferior parietal lobule ([IPL], 26)",0.0259130970832846,-0.149963,-0.19939986,0.23069286,0.20022558,ASD
155,1062,28,"Superior medial frontal gyrus ([SMFG], 28)",38,"Left inferior parietal lobule ([L IPL], 38)",0.02592422596212312,-0.28485885,-0.34077463,0.25135073,0.23671438,ASD
156,1055,28,"Superior medial frontal gyrus ([SMFG], 28)",31,"Middle frontal gyrus ([MiFG], 31)",0.025986243582464763,0.074876815,0.017754601,0.2657495,0.23250486,ASD
157,875,21,"Right middle occipital gyrus ([R MOG], 21)",47,"Anterior cingulate cortex ([ACC], 47)",0.02624906976111156,-0.06991195,-0.119302854,0.20862557,0.22289245,ASD
158,171,4,Caudate (4),23,"Inferior occipital gyrus ([IOG], 23)",0.02640578206419035,-0.073019505,-0.12881209,0.24404298,0.2444701,ASD
159,773,18,"Middle occipital gyrus ([MOG], 18)",44,Precuneus (44),0.026697306640152754,-0.033898085,-0.08404998,0.21964803,0.22032306,ASD
160,1127,31,"Middle frontal gyrus ([MiFG], 31)",34,"Supplementary motor area ([SMA], 34)",0.027356029503246296,-0.08641813,-0.02962085,0.26145497,0.23889574,TD
161,776,18,"Middle occipital gyrus ([MOG], 18)",47,"Anterior cingulate cortex ([ACC], 47)",0.028196130040359018,-0.028931534,-0.07409572,0.20873232,0.19131646,ASD
162,310,7,"Middle temporal gyrus ([MTG], 7)",21,"Right middle occipital gyrus ([R MOG], 21)",0.028604004849061563,-0.037619833,0.009809739,0.20463914,0.21625748,TD
163,206,5,Thalamus (5),10,"Paracentral lobule ([ParaCL], 10)",0.028631601206716383,0.006520676,-0.060274918,0.29879868,0.2946443,ASD
164,342,7,"Middle temporal gyrus ([MTG], 7)",53,"Cerebellum ([CB], 53)",0.029567326898309827,-0.085266314,-0.13091889,0.1927046,0.2142668,ASD
