,Connectivity_Index,P_values,ADOS_Correlation,ROI_1_Index,ROI_2_Index,ROI_1_Name,ROI_2_Name
50,643,0.025768846,-0.10679423,15,22,"Superior parietal lobule ([SPL], 15)",Fusiform gyrus (22)
109,993,0.0014192293,-0.106015354,25,47,"Middle temporal gyrus ([MTG], 25)","Anterior cingulate cortex ([ACC], 47)"
146,1178,8.0110185e-05,-0.10547364,33,44,"Left inferior parietal lobue ([R IPL], 33)",Precuneus (44)
181,1323,0.012586081,-0.10128673,43,44,Precuneus (43),Precuneus (44)
124,1069,0.006700207,-0.09523735,28,45,"Superior medial frontal gyrus ([SMFG], 28)","Anterior cingulate cortex ([ACC], 45)"
95,895,0.017352525,-0.09351704,22,36,Fusiform gyrus (22),"Middle frontal gyrus ([MiFG], 36)"
15,189,0.035231728,-0.09260542,4,41,Caudate (4),"Middle frontal gyrus ([MiFG], 41)"
41,451,0.029658196,-0.09024592,10,30,"Paracentral lobule ([ParaCL], 10)","Right inferior frontal gyrus ([R IFG], 30)"
99,929,0.03117618,-0.09007029,23,40,"Inferior occipital gyrus ([IOG], 23)","Inferior frontal gyrus ([IFG], 40)"
25,263,0.0325985,-0.08518481,6,20,"Superior temporal gyrus ([STG], 6)",Cuneus (20)
177,1293,0.00087818777,-0.08044532,40,47,"Inferior frontal gyrus ([IFG], 40)","Anterior cingulate cortex ([ACC], 47)"
13,174,0.014415075,-0.07894999,4,26,Caudate (4),"Inferior parietal lobule ([IPL], 26)"
184,1326,0.008534288,-0.07469444,43,47,Precuneus (43),"Anterior cingulate cortex ([ACC], 47)"
163,1233,0.00474753,-0.07123808,36,45,"Middle frontal gyrus ([MiFG], 36)","Anterior cingulate cortex ([ACC], 45)"
152,1207,0.00072098215,-0.07103034,35,36,"Superior frontal gyrus ([SFG], 35)","Middle frontal gyrus ([MiFG], 36)"
149,1183,0.0042307284,-0.07037528,33,49,"Left inferior parietal lobue ([R IPL], 33)","Posterior cingulate cortex ([PCC], 49)"
52,661,0.02166814,-0.06377399,15,40,"Superior parietal lobule ([SPL], 15)","Inferior frontal gyrus ([IFG], 40)"
191,1345,0.000218417,-0.06106867,45,49,"Anterior cingulate cortex ([ACC], 45)","Posterior cingulate cortex ([PCC], 49)"
195,1362,0.0035471534,-0.059781037,47,53,"Anterior cingulate cortex ([ACC], 47)","Cerebellum ([CB], 53)"
158,1216,0.003400483,-0.05857427,35,45,"Superior frontal gyrus ([SFG], 35)","Anterior cingulate cortex ([ACC], 45)"
24,262,0.033459388,-0.056729406,6,19,"Superior temporal gyrus ([STG], 6)","Middle temporal gyrus ([MTG], 19)"
172,1279,0.007064468,-0.055535287,39,46,"Middle cingulate cortex ([MCC], 39)","Posterior cingulate cortex ([PCC], 46)"
47,619,0.0015099577,-0.054673288,14,36,"Precentral gyrus ([PreCG], 14)","Middle frontal gyrus ([MiFG], 36)"
17,202,0.00080325303,-0.05361541,5,6,Thalamus (5),"Superior temporal gyrus ([STG], 6)"
108,990,0.018567666,-0.053341653,25,44,"Middle temporal gyrus ([MTG], 25)",Precuneus (44)
28,317,0.0254731,-0.05192539,7,28,"Middle temporal gyrus ([MTG], 7)","Superior medial frontal gyrus ([SMFG], 28)"
10,146,0.026391525,-0.0503191,3,47,Putamen (3),"Anterior cingulate cortex ([ACC], 47)"
42,471,0.03848186,-0.04953036,10,50,"Paracentral lobule ([ParaCL], 10)","Cerebellum ([CB], 50)"
16,199,0.0008083299,-0.049112786,4,51,Caudate (4),"Cerebellum ([CB], 51)"
75,773,0.006672795,-0.048967186,18,44,"Middle occipital gyrus ([MOG], 18)",Precuneus (44)
175,1290,0.0006165746,-0.04290715,40,44,"Inferior frontal gyrus ([IFG], 40)",Precuneus (44)
148,1181,0.00017765604,-0.04121896,33,47,"Left inferior parietal lobue ([R IPL], 33)","Anterior cingulate cortex ([ACC], 47)"
71,759,0.002325059,-0.04015253,18,30,"Middle occipital gyrus ([MOG], 18)","Right inferior frontal gyrus ([R IFG], 30)"
14,185,0.00021745327,-0.039707772,4,37,Caudate (4),"Hippocampus ([HiPP], 37)"
166,1263,1.0893516e-05,-0.036314927,38,44,"Left inferior parietal lobule ([L IPL], 38)",Precuneus (44)
126,1073,0.011479496,-0.036111005,28,49,"Superior medial frontal gyrus ([SMFG], 28)","Posterior cingulate cortex ([PCC], 49)"
61,722,0.0004746641,-0.035178427,17,28,"Calcarine gyrus ([CalcarineG], 17)","Superior medial frontal gyrus ([SMFG], 28)"
145,1172,0.009796348,-0.033748813,33,38,"Left inferior parietal lobue ([R IPL], 33)","Left inferior parietal lobule ([L IPL], 38)"
189,1342,0.001515772,-0.033732098,45,46,"Anterior cingulate cortex ([ACC], 45)","Posterior cingulate cortex ([PCC], 46)"
34,384,0.007354276,-0.03370652,8,50,"Postcentral gyrus ([PoCG], 8)","Cerebellum ([CB], 50)"
56,694,0.02127411,-0.032885466,16,36,"Postcentral gyrus ([PoCG], 16)","Middle frontal gyrus ([MiFG], 36)"
98,925,0.035414897,-0.03189109,23,36,"Inferior occipital gyrus ([IOG], 23)","Middle frontal gyrus ([MiFG], 36)"
178,1295,0.0034626364,-0.02930258,40,49,"Inferior frontal gyrus ([IFG], 40)","Posterior cingulate cortex ([PCC], 49)"
116,1054,0.02864261,-0.025698308,28,30,"Superior medial frontal gyrus ([SMFG], 28)","Right inferior frontal gyrus ([R IFG], 30)"
186,1333,3.1725456e-08,-0.025024049,44,45,Precuneus (44),"Anterior cingulate cortex ([ACC], 45)"
12,160,0.007858154,-0.022914821,4,12,Caudate (4),"Superior parietal lobule ([SPL], 12)"
106,978,0.008934198,-0.019815626,25,32,"Middle temporal gyrus ([MTG], 25)","Inferior parietal lobule ([IPL], 32)"
120,1062,0.0034970974,-0.019689884,28,38,"Superior medial frontal gyrus ([SMFG], 28)","Left inferior parietal lobule ([L IPL], 38)"
46,590,0.004924396,-0.018523496,13,46,"Paracentral lobule ([ParaCL], 13)","Posterior cingulate cortex ([PCC], 46)"
111,1019,0.00016181961,-0.017060706,26,46,"Inferior parietal lobule ([IPL], 26)","Posterior cingulate cortex ([PCC], 46)"
66,748,0.006266483,-0.015821856,18,19,"Middle occipital gyrus ([MOG], 18)","Middle temporal gyrus ([MTG], 19)"
81,797,0.021160036,-0.01433772,19,34,"Middle temporal gyrus ([MTG], 19)","Supplementary motor area ([SMA], 34)"
70,758,0.03201541,-0.014264689,18,29,"Middle occipital gyrus ([MOG], 18)","Inferior frontal gyrus ([IFG], 29)"
125,1070,0.00022205748,-0.014148244,28,46,"Superior medial frontal gyrus ([SMFG], 28)","Posterior cingulate cortex ([PCC], 46)"
57,712,0.00031836948,-0.011342695,17,18,"Calcarine gyrus ([CalcarineG], 17)","Middle occipital gyrus ([MOG], 18)"
118,1059,0.01850804,-0.011256168,28,35,"Superior medial frontal gyrus ([SMFG], 28)","Superior frontal gyrus ([SFG], 35)"
90,873,0.012693437,-0.011162949,21,45,"Right middle occipital gyrus ([R MOG], 21)","Anterior cingulate cortex ([ACC], 45)"
54,668,0.011296741,-0.010731185,15,47,"Superior parietal lobule ([SPL], 15)","Anterior cingulate cortex ([ACC], 47)"
147,1179,0.00087058236,-0.009684794,33,45,"Left inferior parietal lobue ([R IPL], 33)","Anterior cingulate cortex ([ACC], 45)"
6,79,0.025826843,-0.009655541,2,30,Subthalamus/hypothalamus (2),"Right inferior frontal gyrus ([R IFG], 30)"
62,727,0.0418929,-0.0087798545,17,33,"Calcarine gyrus ([CalcarineG], 17)","Left inferior parietal lobue ([R IPL], 33)"
97,919,0.035981685,-0.0074119833,23,30,"Inferior occipital gyrus ([IOG], 23)","Right inferior frontal gyrus ([R IFG], 30)"
180,1304,0.025467364,-0.006399453,41,46,"Middle frontal gyrus ([MiFG], 41)","Posterior cingulate cortex ([PCC], 46)"
173,1280,0.035870433,-0.0061823954,39,47,"Middle cingulate cortex ([MCC], 39)","Anterior cingulate cortex ([ACC], 47)"
103,954,0.032636616,-0.005484829,24,36,"Lingual gyrus ([LingualG], 24)","Middle frontal gyrus ([MiFG], 36)"
27,309,0.005255405,-0.0051037385,7,20,"Middle temporal gyrus ([MTG], 7)",Cuneus (20)
59,714,0.020816157,-0.0049897525,17,20,"Calcarine gyrus ([CalcarineG], 17)",Cuneus (20)
113,1028,0.046932656,-0.0023701028,27,29,Insula (27),"Inferior frontal gyrus ([IFG], 29)"
169,1268,0.006954623,-0.0022841487,38,49,"Left inferior parietal lobule ([L IPL], 38)","Posterior cingulate cortex ([PCC], 49)"
196,1376,0.02564606,0.0008211001,51,53,"Cerebellum ([CB], 51)","Cerebellum ([CB], 53)"
63,729,0.0023383927,0.0008506458,17,35,"Calcarine gyrus ([CalcarineG], 17)","Superior frontal gyrus ([SFG], 35)"
60,718,0.025420614,0.001694366,17,24,"Calcarine gyrus ([CalcarineG], 17)","Lingual gyrus ([LingualG], 24)"
156,1211,0.005376296,0.0018256244,35,40,"Superior frontal gyrus ([SFG], 35)","Inferior frontal gyrus ([IFG], 40)"
48,634,0.040965047,0.0021819887,14,51,"Precentral gyrus ([PreCG], 14)","Cerebellum ([CB], 51)"
188,1337,5.8894407e-06,0.0033691353,44,49,Precuneus (44),"Posterior cingulate cortex ([PCC], 49)"
64,739,0.030480709,0.0043035825,17,45,"Calcarine gyrus ([CalcarineG], 17)","Anterior cingulate cortex ([ACC], 45)"
11,158,0.045215245,0.0061914106,4,10,Caudate (4),"Paracentral lobule ([ParaCL], 10)"
154,1209,0.031653084,0.006392826,35,38,"Superior frontal gyrus ([SFG], 35)","Left inferior parietal lobule ([L IPL], 38)"
194,1355,0.049765848,0.007938582,46,52,"Posterior cingulate cortex ([PCC], 46)","Cerebellum ([CB], 52)"
190,1343,0.03734787,0.012126974,45,47,"Anterior cingulate cortex ([ACC], 45)","Anterior cingulate cortex ([ACC], 47)"
9,135,0.014194532,0.014194767,3,36,Putamen (3),"Middle frontal gyrus ([MiFG], 36)"
129,1107,0.021984903,0.014543867,30,36,"Right inferior frontal gyrus ([R IFG], 30)","Middle frontal gyrus ([MiFG], 36)"
117,1057,0.005574134,0.015149612,28,33,"Superior medial frontal gyrus ([SMFG], 28)","Left inferior parietal lobue ([R IPL], 33)"
43,506,0.033350527,0.017664237,11,43,"Right postcentral gyrus ([R PoCG], 11)",Precuneus (43)
0,4,9.096102e-05,0.020507624,1,6,Caudate (1),"Superior temporal gyrus ([STG], 6)"
193,1352,0.018091729,0.020866258,46,49,"Posterior cingulate cortex ([PCC], 46)","Posterior cingulate cortex ([PCC], 49)"
127,1087,0.04497691,0.021181706,29,39,"Inferior frontal gyrus ([IFG], 29)","Middle cingulate cortex ([MCC], 39)"
1,25,0.036194798,0.021406533,1,27,Caudate (1),Insula (27)
161,1226,0.017264796,0.023119682,36,38,"Middle frontal gyrus ([MiFG], 36)","Left inferior parietal lobule ([L IPL], 38)"
183,1325,0.0062939622,0.024242796,43,46,Precuneus (43),"Posterior cingulate cortex ([PCC], 46)"
151,1197,0.036229208,0.024370419,34,44,"Supplementary motor area ([SMA], 34)",Precuneus (44)
123,1068,2.8488748e-06,0.02555536,28,44,"Superior medial frontal gyrus ([SMFG], 28)",Precuneus (44)
37,423,0.0065322155,0.026188161,9,45,"Left postcentral gyrus ([L PoCG], 9)","Anterior cingulate cortex ([ACC], 45)"
87,868,0.049812954,0.02725577,21,40,"Right middle occipital gyrus ([R MOG], 21)","Inferior frontal gyrus ([IFG], 40)"
101,933,0.015045467,0.029906021,23,44,"Inferior occipital gyrus ([IOG], 23)",Precuneus (44)
86,859,0.046465132,0.030437088,21,31,"Right middle occipital gyrus ([R MOG], 21)","Middle frontal gyrus ([MiFG], 31)"
160,1220,0.00476716,0.030880848,35,49,"Superior frontal gyrus ([SFG], 35)","Posterior cingulate cortex ([PCC], 49)"
192,1350,0.0030606664,0.032539792,46,47,"Posterior cingulate cortex ([PCC], 46)","Anterior cingulate cortex ([ACC], 47)"
157,1215,0.0005109844,0.033883985,35,44,"Superior frontal gyrus ([SFG], 35)",Precuneus (44)
114,1029,0.002644927,0.03505518,27,30,Insula (27),"Right inferior frontal gyrus ([R IFG], 30)"
168,1266,9.581403e-05,0.036911357,38,47,"Left inferior parietal lobule ([L IPL], 38)","Anterior cingulate cortex ([ACC], 47)"
30,322,0.0071861544,0.03830222,7,33,"Middle temporal gyrus ([MTG], 7)","Left inferior parietal lobue ([R IPL], 33)"
107,980,0.009469658,0.03890421,25,34,"Middle temporal gyrus ([MTG], 25)","Supplementary motor area ([SMA], 34)"
77,777,0.047471236,0.039758973,18,48,"Middle occipital gyrus ([MOG], 18)",Precuneus (48)
133,1120,0.027512787,0.039977897,30,49,"Right inferior frontal gyrus ([R IFG], 30)","Posterior cingulate cortex ([PCC], 49)"
69,754,0.049669664,0.04023338,18,25,"Middle occipital gyrus ([MOG], 18)","Middle temporal gyrus ([MTG], 25)"
170,1273,0.0014107552,0.04083643,39,40,"Middle cingulate cortex ([MCC], 39)","Inferior frontal gyrus ([IFG], 40)"
84,833,0.015773738,0.042669386,20,37,Cuneus (20),"Hippocampus ([HiPP], 37)"
102,935,0.016398838,0.044996914,23,46,"Inferior occipital gyrus ([IOG], 23)","Posterior cingulate cortex ([PCC], 46)"
33,379,0.009516147,0.048054587,8,45,"Postcentral gyrus ([PoCG], 8)","Anterior cingulate cortex ([ACC], 45)"
73,769,0.009445475,0.048976153,18,40,"Middle occipital gyrus ([MOG], 18)","Inferior frontal gyrus ([IFG], 40)"
174,1288,0.04106483,0.049011387,40,42,"Inferior frontal gyrus ([IFG], 40)","Hippocampus ([HiPP], 42)"
51,658,0.046638966,0.05315654,15,37,"Superior parietal lobule ([SPL], 15)","Hippocampus ([HiPP], 37)"
31,327,0.027706636,0.053999778,7,38,"Middle temporal gyrus ([MTG], 7)","Left inferior parietal lobule ([L IPL], 38)"
20,207,0.044321362,0.054314062,5,11,Thalamus (5),"Right postcentral gyrus ([R PoCG], 11)"
79,786,0.030873869,0.055135023,19,23,"Middle temporal gyrus ([MTG], 19)","Inferior occipital gyrus ([IOG], 23)"
89,872,0.0031869933,0.05587889,21,44,"Right middle occipital gyrus ([R MOG], 21)",Precuneus (44)
39,433,0.027048253,0.05665839,10,12,"Paracentral lobule ([ParaCL], 10)","Superior parietal lobule ([SPL], 12)"
159,1218,0.008656009,0.058307964,35,47,"Superior frontal gyrus ([SFG], 35)","Anterior cingulate cortex ([ACC], 47)"
55,674,0.037268106,0.059520658,15,53,"Superior parietal lobule ([SPL], 15)","Cerebellum ([CB], 53)"
40,446,0.032641906,0.060014848,10,25,"Paracentral lobule ([ParaCL], 10)","Middle temporal gyrus ([MTG], 25)"
80,790,0.027524695,0.06015009,19,27,"Middle temporal gyrus ([MTG], 19)",Insula (27)
82,800,0.0028775833,0.062337708,19,37,"Middle temporal gyrus ([MTG], 19)","Hippocampus ([HiPP], 37)"
104,955,0.01826421,0.06359636,24,37,"Lingual gyrus ([LingualG], 24)","Hippocampus ([HiPP], 37)"
187,1335,0.00092648476,0.063787855,44,47,Precuneus (44),"Anterior cingulate cortex ([ACC], 47)"
130,1108,0.00024873676,0.06612794,30,37,"Right inferior frontal gyrus ([R IFG], 30)","Hippocampus ([HiPP], 37)"
176,1291,0.006914735,0.06679203,40,45,"Inferior frontal gyrus ([IFG], 40)","Anterior cingulate cortex ([ACC], 45)"
121,1064,0.012258206,0.07076586,28,40,"Superior medial frontal gyrus ([SMFG], 28)","Inferior frontal gyrus ([IFG], 40)"
35,388,0.033655073,0.072950356,9,10,"Left postcentral gyrus ([L PoCG], 9)","Paracentral lobule ([ParaCL], 10)"
65,743,0.006359821,0.076302506,17,49,"Calcarine gyrus ([CalcarineG], 17)","Posterior cingulate cortex ([PCC], 49)"
74,772,0.001050319,0.07725351,18,43,"Middle occipital gyrus ([MOG], 18)",Precuneus (43)
136,1140,0.0031921326,0.079351425,31,47,"Middle frontal gyrus ([MiFG], 31)","Anterior cingulate cortex ([ACC], 47)"
167,1264,0.00041838584,0.08064839,38,45,"Left inferior parietal lobule ([L IPL], 38)","Anterior cingulate cortex ([ACC], 45)"
76,775,0.032262202,0.08114206,18,46,"Middle occipital gyrus ([MOG], 18)","Posterior cingulate cortex ([PCC], 46)"
23,222,0.00048343436,0.081261314,5,26,Thalamus (5),"Inferior parietal lobule ([IPL], 26)"
85,858,0.020640641,0.08168619,21,30,"Right middle occipital gyrus ([R MOG], 21)","Right inferior frontal gyrus ([R IFG], 30)"
78,783,0.0066761863,0.08356777,19,20,"Middle temporal gyrus ([MTG], 19)",Cuneus (20)
19,205,0.027655005,0.08455089,5,9,Thalamus (5),"Left postcentral gyrus ([L PoCG], 9)"
38,432,0.027025484,0.08858946,10,11,"Paracentral lobule ([ParaCL], 10)","Right postcentral gyrus ([R PoCG], 11)"
26,288,0.036076013,0.09540612,6,45,"Superior temporal gyrus ([STG], 6)","Anterior cingulate cortex ([ACC], 45)"
32,334,0.009845312,0.09667477,7,45,"Middle temporal gyrus ([MTG], 7)","Anterior cingulate cortex ([ACC], 45)"
164,1245,0.007070411,0.09826394,37,41,"Hippocampus ([HiPP], 37)","Middle frontal gyrus ([MiFG], 41)"
153,1208,0.00066814374,0.10078792,35,37,"Superior frontal gyrus ([SFG], 35)","Hippocampus ([HiPP], 37)"
128,1106,0.036541525,0.10349824,30,35,"Right inferior frontal gyrus ([R IFG], 30)","Superior frontal gyrus ([SFG], 35)"
8,131,0.046493255,0.10734069,3,32,Putamen (3),"Inferior parietal lobule ([IPL], 32)"
29,321,0.010465146,0.10963257,7,32,"Middle temporal gyrus ([MTG], 7)","Inferior parietal lobule ([IPL], 32)"
162,1227,0.001235811,0.11060849,36,39,"Middle frontal gyrus ([MiFG], 36)","Middle cingulate cortex ([MCC], 39)"
45,587,3.104349e-05,0.11535452,13,43,"Paracentral lobule ([ParaCL], 13)",Precuneus (43)
179,1300,0.027659483,0.1193733,41,42,"Middle frontal gyrus ([MiFG], 41)","Hippocampus ([HiPP], 42)"
7,108,0.03152834,0.12193145,3,9,Putamen (3),"Left postcentral gyrus ([L PoCG], 9)"
138,1152,0.036164775,0.1310101,32,38,"Inferior parietal lobule ([IPL], 32)","Left inferior parietal lobule ([L IPL], 38)"
119,1061,0.0043136254,0.13105176,28,37,"Superior medial frontal gyrus ([SMFG], 28)","Hippocampus ([HiPP], 37)"
21,215,0.013283703,0.13275278,5,19,Thalamus (5),"Middle temporal gyrus ([MTG], 19)"
22,216,0.031747922,0.13439861,5,20,Thalamus (5),Cuneus (20)
131,1111,0.03793132,0.13683698,30,40,"Right inferior frontal gyrus ([R IFG], 30)","Inferior frontal gyrus ([IFG], 40)"
91,874,0.0022732865,0.13831045,21,46,"Right middle occipital gyrus ([R MOG], 21)","Posterior cingulate cortex ([PCC], 46)"
93,876,0.035977516,0.14379202,21,48,"Right middle occipital gyrus ([R MOG], 21)",Precuneus (48)
5,63,0.015941435,0.15299544,2,14,Subthalamus/hypothalamus (2),"Precentral gyrus ([PreCG], 14)"
18,204,0.01107813,0.154813,5,8,Thalamus (5),"Postcentral gyrus ([PoCG], 8)"
115,1038,0.009958445,0.16385642,27,39,Insula (27),"Middle cingulate cortex ([MCC], 39)"
58,713,0.030356647,0.16396308,17,19,"Calcarine gyrus ([CalcarineG], 17)","Middle temporal gyrus ([MTG], 19)"
165,1262,0.0019858235,0.17221224,38,43,"Left inferior parietal lobule ([L IPL], 38)",Precuneus (43)
4,58,0.013251055,0.17827083,2,9,Subthalamus/hypothalamus (2),"Left postcentral gyrus ([L PoCG], 9)"
144,1170,0.0028851484,0.17833447,33,36,"Left inferior parietal lobue ([R IPL], 33)","Middle frontal gyrus ([MiFG], 36)"
100,932,0.0056468225,0.18007901,23,43,"Inferior occipital gyrus ([IOG], 23)",Precuneus (43)
49,636,0.033947557,0.18707465,14,53,"Precentral gyrus ([PreCG], 14)","Cerebellum ([CB], 53)"
171,1275,0.037815962,0.19220392,39,42,"Middle cingulate cortex ([MCC], 39)","Hippocampus ([HiPP], 42)"
134,1122,0.045426365,0.19879133,30,51,"Right inferior frontal gyrus ([R IFG], 30)","Cerebellum ([CB], 51)"
112,1024,0.018520594,0.20143332,26,51,"Inferior parietal lobule ([IPL], 26)","Cerebellum ([CB], 51)"
88,871,0.015852205,0.20937297,21,43,"Right middle occipital gyrus ([R MOG], 21)",Precuneus (43)
150,1195,0.023443896,0.21743427,34,42,"Supplementary motor area ([SMA], 34)","Hippocampus ([HiPP], 42)"
135,1130,0.044202007,0.2249391,31,37,"Middle frontal gyrus ([MiFG], 31)","Hippocampus ([HiPP], 37)"
96,903,0.0022875948,0.23879853,22,44,Fusiform gyrus (22),Precuneus (44)
72,761,0.029950486,0.23976223,18,32,"Middle occipital gyrus ([MOG], 18)","Inferior parietal lobule ([IPL], 32)"
137,1147,0.013933328,0.25200242,32,33,"Inferior parietal lobule ([IPL], 32)","Left inferior parietal lobue ([R IPL], 33)"
